route_id,trip_id,stop_sequence,stop_name,arrival_time,departure_time,time:timestamp
FR-07,175060-0,1,PIMS Hospital,06:00:00,06:00:00,2024-01-01 06:00:00+05:00
FR-07,175060-0,2,Children Hospital,06:01:00,06:01:20,2024-01-01 06:01:00+05:00
FR-07,175060-0,3,NORI Hospital,06:03:59,06:04:19,2024-01-01 06:03:59+05:00
FR-07,175060-0,4,Dental Hospital,06:06:19,06:06:39,2024-01-01 06:06:19+05:00
FR-07,175060-0,5,G-8 Markaz,06:06:49,06:06:59,2024-01-01 06:06:49+05:00
FR-07,175060-0,6,Development Park,06:07:19,06:07:39,2024-01-01 06:07:19+05:00
FR-07,175060-0,7,Chaman Metro Station,06:09:28,06:09:48,2024-01-01 06:09:28+05:00
FR-07,175060-0,8,G-9/4,06:11:24,06:11:44,2024-01-01 06:11:24+05:00
FR-07,175060-0,9,Karachi Company,06:13:24,06:13:44,2024-01-01 06:13:24+05:00
FR-07,175060-0,10,G-9 Markaz,06:14:34,06:14:54,2024-01-01 06:14:34+05:00
FR-07,175060-0,11,Police Flats,06:16:29,06:16:49,2024-01-01 06:16:29+05:00
FR-07,175060-0,12,College Morh,06:19:19,06:19:39,2024-01-01 06:19:19+05:00
FR-07,175060-0,13,G-10 Markaz,06:22:09,06:22:29,2024-01-01 06:22:09+05:00
FR-07,175060-0,14,PHA Flats,06:24:59,06:25:19,2024-01-01 06:24:59+05:00
FR-07,175060-0,15,Tanki Stop,06:26:09,06:26:29,2024-01-01 06:26:09+05:00
FR-07,175060-0,16,G-10/G-11,06:27:19,06:27:39,2024-01-01 06:27:19+05:00
FR-07,175060-0,17,Institute of Modern Studies,06:28:34,06:28:54,2024-01-01 06:28:34+05:00
FR-07,175060-0,18,G-11 Markaz,06:30:24,06:30:44,2024-01-01 06:30:24+05:00
FR-07,175060-0,19,Mehrabad,06:34:26,06:34:46,2024-01-01 06:34:26+05:00
FR-07,175060-0,20,Nust Metro Station,06:40:10,06:40:30,2024-01-01 06:40:10+05:00
FR-07,175060-0,21,Bar Council,06:42:40,06:43:00,2024-01-01 06:42:40+05:00
FR-07,175060-0,22,A.K Bari Road,06:43:50,06:44:10,2024-01-01 06:43:50+05:00
FR-07,175060-0,23,Police Foundation Metro,06:47:20,06:47:20,2024-01-01 06:47:20+05:00
FR-07,175061-0,1,PIMS Hospital,10:10:00,10:10:00,2024-01-01 10:10:00+05:00
FR-07,175061-0,2,Children Hospital,10:11:00,10:11:20,2024-01-01 10:11:00+05:00
FR-07,175061-0,3,NORI Hospital,10:13:59,10:14:19,2024-01-01 10:13:59+05:00
FR-07,175061-0,4,Dental Hospital,10:16:19,10:16:39,2024-01-01 10:16:19+05:00
FR-07,175061-0,5,G-8 Markaz,10:16:49,10:16:59,2024-01-01 10:16:49+05:00
FR-07,175061-0,6,Development Park,10:17:19,10:17:39,2024-01-01 10:17:19+05:00
FR-07,175061-0,7,Chaman Metro Station,10:19:28,10:19:48,2024-01-01 10:19:28+05:00
FR-07,175061-0,8,G-9/4,10:21:24,10:21:44,2024-01-01 10:21:24+05:00
FR-07,175061-0,9,Karachi Company,10:23:24,10:23:44,2024-01-01 10:23:24+05:00
FR-07,175061-0,10,G-9 Markaz,10:24:34,10:24:54,2024-01-01 10:24:34+05:00
FR-07,175061-0,11,Police Flats,10:26:29,10:26:49,2024-01-01 10:26:29+05:00
FR-07,175061-0,12,College Morh,10:29:19,10:29:39,2024-01-01 10:29:19+05:00
FR-07,175061-0,13,G-10 Markaz,10:32:09,10:32:29,2024-01-01 10:32:09+05:00
FR-07,175061-0,14,PHA Flats,10:34:59,10:35:19,2024-01-01 10:34:59+05:00
FR-07,175061-0,15,Tanki Stop,10:36:09,10:36:29,2024-01-01 10:36:09+05:00
FR-07,175061-0,16,G-10/G-11,10:37:19,10:37:39,2024-01-01 10:37:19+05:00
FR-07,175061-0,17,Institute of Modern Studies,10:38:34,10:38:54,2024-01-01 10:38:34+05:00
FR-07,175061-0,18,G-11 Markaz,10:40:24,10:40:44,2024-01-01 10:40:24+05:00
FR-07,175061-0,19,Mehrabad,10:44:26,10:44:46,2024-01-01 10:44:26+05:00
FR-07,175061-0,20,Nust Metro Station,10:50:10,10:50:30,2024-01-01 10:50:10+05:00
FR-07,175061-0,21,Bar Council,10:52:40,10:53:00,2024-01-01 10:52:40+05:00
FR-07,175061-0,22,A.K Bari Road,10:53:50,10:54:10,2024-01-01 10:53:50+05:00
FR-07,175061-0,23,Police Foundation Metro,10:57:20,10:57:20,2024-01-01 10:57:20+05:00
FR-07,175062-0,1,PIMS Hospital,14:20:00,14:20:00,2024-01-01 14:20:00+05:00
FR-07,175062-0,2,Children Hospital,14:21:00,14:21:20,2024-01-01 14:21:00+05:00
FR-07,175062-0,3,NORI Hospital,14:23:59,14:24:19,2024-01-01 14:23:59+05:00
FR-07,175062-0,4,Dental Hospital,14:26:19,14:26:39,2024-01-01 14:26:19+05:00
FR-07,175062-0,5,G-8 Markaz,14:26:49,14:26:59,2024-01-01 14:26:49+05:00
FR-07,175062-0,6,Development Park,14:27:19,14:27:39,2024-01-01 14:27:19+05:00
FR-07,175062-0,7,Chaman Metro Station,14:29:28,14:29:48,2024-01-01 14:29:28+05:00
FR-07,175062-0,8,G-9/4,14:31:24,14:31:44,2024-01-01 14:31:24+05:00
FR-07,175062-0,9,Karachi Company,14:33:24,14:33:44,2024-01-01 14:33:24+05:00
FR-07,175062-0,10,G-9 Markaz,14:34:34,14:34:54,2024-01-01 14:34:34+05:00
FR-07,175062-0,11,Police Flats,14:36:29,14:36:49,2024-01-01 14:36:29+05:00
FR-07,175062-0,12,College Morh,14:39:19,14:39:39,2024-01-01 14:39:19+05:00
FR-07,175062-0,13,G-10 Markaz,14:42:09,14:42:29,2024-01-01 14:42:09+05:00
FR-07,175062-0,14,PHA Flats,14:44:59,14:45:19,2024-01-01 14:44:59+05:00
FR-07,175062-0,15,Tanki Stop,14:46:09,14:46:29,2024-01-01 14:46:09+05:00
FR-07,175062-0,16,G-10/G-11,14:47:19,14:47:39,2024-01-01 14:47:19+05:00
FR-07,175062-0,17,Institute of Modern Studies,14:48:34,14:48:54,2024-01-01 14:48:34+05:00
FR-07,175062-0,18,G-11 Markaz,14:50:24,14:50:44,2024-01-01 14:50:24+05:00
FR-07,175062-0,19,Mehrabad,14:54:26,14:54:46,2024-01-01 14:54:26+05:00
FR-07,175062-0,20,Nust Metro Station,15:00:10,15:00:30,2024-01-01 15:00:10+05:00
FR-07,175062-0,21,Bar Council,15:02:40,15:03:00,2024-01-01 15:02:40+05:00
FR-07,175062-0,22,A.K Bari Road,15:03:50,15:04:10,2024-01-01 15:03:50+05:00
FR-07,175062-0,23,Police Foundation Metro,15:07:20,15:07:20,2024-01-01 15:07:20+05:00
